"PACIFIC Exchange Rate Service"
"MMM YYYY","USD/DZD","USD/ARS","USD/AUD","USD/ATS","USD/BSD","USD/BHD","USD/BBD","USD/BEF","USD/BMD","USD/BRL","USD/GBP","USD/BGN","USD/CAD","USD/CLP","USD/CNY","USD/COP","USD/HRK","USD/CYP","USD/CZK","USD/DKK"
"Jan 1972",,,,,,,,0.022513,,,2.5703,,0.99411,,,,,,,
"Feb 1972",,,,,,,,0.022809,,,2.6035,,0.99528,,,,,,,
"Mar 1972",,,,,,,,0.022757,,,2.6179,,1.00152,,,,,,,
"Apr 1972",,,,,,,,0.022673,,,2.6102,,1.00430,,,,,,,
"May 1972",,,,,,,,0.022737,,,2.6124,,1.01119,,,,,,,
"Jun 1972",,,,,,,,0.022758,,,2.5680,,1.02091,,,,,,,
"Jul 1972",,,,,,,,0.022814,,,2.4447,,1.01631,,,,,,,
"Aug 1972",,,,,,,,0.022795,,,2.4502,,1.01789,,,,,,,
"Sep 1972",,,,,,,,0.022742,,,2.4411,,1.01729,,,,,,,
"Oct 1972",,,,,,,,0.022639,,,2.3943,,1.01756,,,,,,,
"Nov 1972",,,,,,,,0.022685,,,2.3515,,1.01279,,,,,,,
"Dec 1972",,,,,,,,0.022669,,,2.3448,,1.00325,,,,,,,
"Jan 1973",,,,,,,,0.022664,,,2.3562,,1.00071,,,,,,,
"Feb 1973",,,,,,,,0.023941,,,2.4266,,1.00438,,,,,,,
"Mar 1973",,,,,,,,0.025375,,,2.4723,,1.00333,,,,,,,
"Apr 1973",,,,,,,,0.024895,,,2.4838,,0.99928,,,,,,,
"May 1973",,,,,,,,0.025348,,,2.5303,,0.99925,,,,,,,
"Jun 1973",,,,,,,,0.026637,,,2.5762,,1.00160,,,,,,,
"Jul 1973",,,,,,,,0.028145,,,2.5372,,1.00048,,,,,,,
"Aug 1973",,,,,,,,0.027021,,,2.4754,,0.99605,,,,,,,
"Sep 1973",,,,,,,,0.027087,,,2.4183,,0.99181,,,,,,,
"Oct 1973",,,,,,,,0.027327,,,2.4291,,0.99889,,,,,,,
"Nov 1973",,,,,,,,0.025867,,,2.3865,,1.00091,,,,,,,
"Dec 1973",,,,,,,,0.024723,,,2.3174,,1.00058,,,,,,,
"Jan 1974",,,,,,,,0.023326,,,2.2233,,1.00857,,,,,,,
"Feb 1974",,,,,,,,0.024353,,,2.2746,,1.02395,,,,,,,
"Mar 1974",,,,,,,,0.025037,,,2.3402,,1.02876,,,,,,,
"Apr 1974",,,,,,,,0.025677,,,2.3884,,1.03353,,,,,,,
"May 1974",,,,,,,,0.026557,,,2.4136,,1.03915,,,,,,,
